Date,Original Views,Original Likes,Original Comments,Original Shares,Original Video Count,Repost Views,Repost Likes,Repost Comments,Repost Shares,Repost Video Count,Total Views,Total Likes,Total Comments,Total Shares,Total Video Count
11/24/2025,34485508,156655,3117,7692,919,70194437,2718938,22375,134397,901,104679945,2875593,25521,142089,1820
11/25/2025,34540585,156762,3150,7704,921,70196545,2718966,22376,134407,901,104737130,2875728,25526,142111,1822
11/26/2025,34598966,156906,3142,7712,922,70199787,2719093,22373,134419,901,104798753,2875999,25515,142131,1823
11/27/2025,34670021,157153,3143,7720,923,70204241,2719164,22376,134434,902,104874262,2876317,25519,142154,1825
11/28/2025,34696575,157205,3143,7720,925,70206916,2719189,22376,134443,902,104903491,2876394,25519,142163,1827
11/29/2025,34786264,157474,3147,7727,930,70210897,2719321,22370,134460,902,104997161,2876795,25517,142187,1832
11/30/2025,34820913,157555,3150,7731,931,70214646,2719441,22369,134467,902,105035559,2876996,25519,142198,1833
12/01/2025,34872375,157672,3153,7738,933,70217560,2719462,22371,134473,902,105089935,2877134,25524,142211,1835
12/02/2025,34960344,157941,3155,7755,933,70220598,2719685,22371,134482,901,105180942,2877626,25526,142237,1834
12/03/2025,34997201,158031,3168,7758,933,70323003,2719693,22368,134487,901,105320204,2877724,25536,142245,1834
12/04/2025,35036333,158111,3168,7761,934,70325102,2719803,22364,134498,901,105361435,2877914,25532,142259,1835
12/05/2025,35082773,158196,3169,7769,935,70327267,2719817,22348,134501,901,105410040,2878013,25517,142270,1836
