Date,Original Views,Original Likes,Original Comments,Original Shares,Original Video Count,Repost Views,Repost Likes,Repost Comments,Repost Shares,Repost Video Count,Total Views,Total Likes,Total Comments,Total Shares,Total Video Count
11/24/2025,34485508,156655,3117,7692,919,70194437,2718938,22375,134397,901,104679945,2875593,25521,142089,1820
11/25/2025,34540585,156762,3150,7704,921,70196545,2718966,22376,134407,901,104737130,2875728,25526,142111,1822
11/26/2025,34598966,156906,3142,7712,922,70199787,2719093,22373,134419,901,104798753,2875999,25515,142131,1823
11/27/2025,34670021,157153,3143,7720,923,70204241,2719164,22376,134434,902,104874262,2876317,25519,142154,1825
11/28/2025,34696575,157205,3143,7720,925,70206916,2719189,22376,134443,902,104903491,2876394,25519,142163,1827
11/29/2025,34786264,157474,3147,7727,930,70210897,2719321,22370,134460,902,104997161,2876795,25517,142187,1832
11/30/2025,34820913,157555,3150,7731,931,70214646,2719441,22369,134467,902,105035559,2876996,25519,142198,1833
12/01/2025,34872375,157672,3153,7738,933,70217560,2719462,22371,134473,902,105089935,2877134,25524,142211,1835
12/02/2025,34960344,157941,3155,7755,933,70220598,2719685,22371,134482,901,105180942,2877626,25526,142237,1834
12/03/2025,34997201,158031,3168,7758,933,70323003,2719693,22368,134487,901,105320204,2877724,25536,142245,1834
12/04/2025,35036333,158111,3168,7761,934,70325102,2719803,22364,134498,901,105361435,2877914,25532,142259,1835
12/05/2025,35082773,158196,3169,7769,935,70327267,2719817,22348,134501,901,105410040,2878013,25517,142270,1836
12/05/2025,35089082,158197,3168,7770,936,70327574,2719818,22347,134501,901,105416656,2878015,25515,142271,1837
12/06/2025,35152450,158341,3170,7778,936,70330064,2719835,22350,134503,901,105482514,2878176,25520,142281,1837
12/07/2025,35218258,158461,3174,7783,938,70332893,2719850,22350,134516,901,105551151,2878311,25524,142299,1839
12/08/2025,35296955,158609,3180,7803,940,70336890,2719971,22345,134523,901,105633845,2878580,25525,142326,1841
12/09/2025,35359145,158718,3183,7811,942,70344498,2720105,22337,134532,901,105703643,2878823,25520,142343,1843
12/10/2025,35425416,158896,3190,7819,947,70347583,2720231,22339,134536,901,105772999,2879127,25529,142355,1848
12/11/2025,35478932,158986,3191,7825,947,70350381,2720252,22333,134544,901,105829313,2879238,25524,142369,1848
02/04/2026,40062843,165884,3533,8282,1034,70849004,2725725,22136,135056,889,110911847,2891609,25669,143338,1923
02/05/2026,40065469,165916,3540,8288,1035,70850213,2725731,22135,135060,889,110915682,2891647,25675,143348,1924
02/06/2026,40069174,165947,3540,8300,1037,70786609,2724566,21997,134993,882,110855783,2890513,25537,143293,1919
02/07/2026,45149693,184038,4186,9970,1045,70839605,2725653,22160,135071,883,115989298,2909691,26346,145041,1928
02/08/2026,45151802,184066,4188,9972,1045,70740590,2722266,22063,135006,884,115892392,2906332,26251,144978,1929
02/09/2026,45152937,184085,4193,9972,1045,70848212,2725891,22102,135092,881,116001149,2909976,26295,145064,1926
02/10/2026,45156244,184109,4193,9976,1045,70951171,2741352,22044,135623,882,116107415,2925461,26237,145599,1927
02/11/2026,45158773,184133,4195,9980,1046,70856605,2726719,22098,135129,885,116015378,2910852,26293,145109,1931
02/12/2026,45161789,184193,4199,9981,1047,70958284,2726828,22096,135138,885,116120073,2911021,26295,145119,1932
02/13/2026,45163882,184226,4202,9992,1048,70951988,2726385,22097,135144,882,116115870,2910611,26299,145136,1930
02/14/2026,45166160,184247,4203,9993,1050,77169009,3275389,24056,161706,884,122335169,3459636,28259,171699,1934
02/15/2026,45168698,184256,4204,9993,1050,78470668,3349008,24267,164512,884,123639366,3533264,28471,174505,1934
02/16/2026,45170180,184259,4205,9993,1050,78871581,3372932,24325,165414,885,124041761,3557191,28530,175407,1935
02/17/2026,45176934,184303,4214,9995,1051,79965072,3419836,24333,167296,885,125142006,3604139,28547,177291,1936
02/18/2026,45183753,184333,4217,9996,1051,80466760,3448949,24394,168501,885,125650513,3633282,28611,178497,1936
02/19/2026,45187564,184343,4222,9996,1051,80869070,3469767,24437,169209,885,126056634,3654110,28659,179205,1936
02/20/2026,45189587,184347,4224,9997,1051,81171220,3488934,24483,169812,886,126360807,3673281,28707,179809,1937
02/21/2026,45342363,184376,4224,9998,1052,81574142,3511447,24543,170515,886,126916505,3695823,28767,180513,1938
02/22/2026,45522046,184405,4226,9999,1052,81876835,3530060,24590,171119,886,127398881,3714465,28816,181118,1938
02/23/2026,45665827,184433,4227,9999,1052,82178816,3547467,24624,171621,886,127844643,3731900,28851,181620,1938
02/24/2026,45819088,184484,4230,10008,1053,82490773,3579096,23826,172671,886,128309861,3763580,28056,182679,1939
02/25/2026,46103698,184749,4237,10017,1057,82784183,3594711,24797,173244,883,128887881,3779460,29034,183261,1940
02/26/2026,46264789,184766,4237,10020,1057,82886371,3603620,24816,173548,883,129151160,3788386,29053,183568,1940
02/27/2026,46544808,185111,4240,10037,1061,82991483,3609241,24830,173754,883,129536291,3794352,29070,183791,1944
